Date,Open,High,Low,Close,Symbol,Volume
2023-01-27,1.24072,1.24189,1.23459,1.23907,GBPUSD,
2023-01-30,1.23916,1.24172,1.23381,1.23543,GBPUSD,
2023-01-31,1.2354,1.23708,1.22845,1.23172,GBPUSD,
2023-02-01,1.23174,1.23922,1.22746,1.23751,GBPUSD,
2023-02-02,1.23746,1.24006,1.22227,1.22271,GBPUSD,
2023-02-03,1.22278,1.22654,1.20503,1.20505,GBPUSD,
2023-02-06,1.20413,1.20773,1.20059,1.202,GBPUSD,
2023-02-07,1.20192,1.20943,1.19615,1.20487,GBPUSD,
2023-02-08,1.20506,1.21099,1.20387,1.20701,GBPUSD,
2023-02-09,1.20701,1.2194,1.2057,1.21215,GBPUSD,
2023-02-10,1.21215,1.2139,1.20476,1.2055,GBPUSD,
2023-02-13,1.20551,1.21521,1.20318,1.21362,GBPUSD,
2023-02-14,1.21365,1.2264,1.21191,1.21745,GBPUSD,
2023-02-15,1.21742,1.21819,1.199,1.20294,GBPUSD,
2023-02-16,1.20315,1.2074,1.19655,1.19861,GBPUSD,
2023-02-17,1.1987,1.2049,1.19152,1.20443,GBPUSD,
2023-02-20,1.2036,1.20565,1.20149,1.20401,GBPUSD,
2023-02-21,1.20405,1.21471,1.19867,1.21091,GBPUSD,
2023-02-22,1.21098,1.21356,1.20357,1.20449,GBPUSD,
2023-02-23,1.20447,1.2075,1.19925,1.20194,GBPUSD,
2023-02-24,1.2019,1.20419,1.19286,1.19431,GBPUSD,
2023-02-27,1.19468,1.20661,1.19229,1.20585,GBPUSD,
2023-02-28,1.20582,1.21426,1.20128,1.20353,GBPUSD,
2023-03-01,1.20348,1.20889,1.19661,1.20261,GBPUSD,
2023-03-02,1.20263,1.20365,1.19254,1.19518,GBPUSD,
2023-03-03,1.19511,1.20489,1.19485,1.20447,GBPUSD,
2023-03-06,1.20381,1.20487,1.19933,1.20261,GBPUSD,
2023-03-07,1.20263,1.20652,1.18218,1.18329,GBPUSD,
2023-03-08,1.18318,1.18586,1.18054,1.18419,GBPUSD,
2023-03-09,1.18427,1.19382,1.18322,1.19228,GBPUSD,
2023-03-10,1.19226,1.21128,1.19096,1.20255,GBPUSD,
2023-03-13,1.20859,1.21995,1.20474,1.21793,GBPUSD,
2023-03-14,1.21792,1.22028,1.21363,1.21557,GBPUSD,
2023-03-15,1.21557,1.21819,1.20105,1.20562,GBPUSD,
2023-03-16,1.20563,1.21279,1.20282,1.21068,GBPUSD,
2023-03-17,1.21067,1.22006,1.2102,1.21801,GBPUSD,
2023-03-20,1.2184,1.2285,1.21672,1.22778,GBPUSD,
2023-03-21,1.22779,1.22824,1.21792,1.22236,GBPUSD,
2023-03-22,1.22236,1.2334,1.22088,1.2266,GBPUSD,
2023-03-23,1.22659,1.23435,1.2263,1.22816,GBPUSD,
2023-03-24,1.22807,1.22886,1.21914,1.22331,GBPUSD,
2023-03-27,1.22352,1.22928,1.22193,1.22855,GBPUSD,
2023-03-28,1.22846,1.23491,1.22814,1.23376,GBPUSD,
2023-03-29,1.23379,1.23614,1.23034,1.23159,GBPUSD,
2023-03-30,1.23159,1.23931,1.22944,1.23887,GBPUSD,
2023-03-31,1.23883,1.24225,1.23256,1.23372,GBPUSD,
2023-04-03,1.23262,1.24237,1.22748,1.24174,GBPUSD,
2023-04-04,1.24181,1.25254,1.23953,1.25017,GBPUSD,
2023-04-05,1.25016,1.25142,1.24333,1.24617,GBPUSD,
2023-04-06,1.24611,1.24868,1.24131,1.24412,GBPUSD,
2023-04-10,1.2423,1.24428,1.23448,1.23831,GBPUSD,
2023-04-11,1.2382,1.24563,1.23814,1.24272,GBPUSD,
2023-04-12,1.24271,1.24951,1.23988,1.2483,GBPUSD,
2023-04-13,1.24845,1.25374,1.2479,1.25262,GBPUSD,
2023-04-14,1.25249,1.25466,1.23995,1.24165,GBPUSD,
2023-04-17,1.24186,1.24383,1.23536,1.2379,GBPUSD,
2023-04-18,1.23802,1.24496,1.23678,1.2426,GBPUSD,
2023-04-19,1.24266,1.24742,1.2393,1.2437,GBPUSD,
2023-04-20,1.24369,1.24677,1.24051,1.24415,GBPUSD,
2023-04-21,1.2442,1.24464,1.23672,1.24442,GBPUSD,
2023-04-24,1.24411,1.24864,1.2411,1.24848,GBPUSD,
2023-04-25,1.24849,1.25073,1.2388,1.24109,GBPUSD,
2023-04-26,1.2411,1.25139,1.2403,1.24682,GBPUSD,
2023-04-27,1.24669,1.24997,1.24377,1.24947,GBPUSD,
2023-04-28,1.24947,1.2584,1.2447,1.25678,GBPUSD,
2023-05-01,1.25681,1.25708,1.24808,1.24946,GBPUSD,
2023-05-02,1.24954,1.25117,1.24359,1.24705,GBPUSD,
2023-05-03,1.24711,1.25902,1.24684,1.25669,GBPUSD,
2023-05-04,1.25666,1.25986,1.25487,1.25733,GBPUSD,
2023-05-05,1.25724,1.26524,1.25614,1.26351,GBPUSD,
2023-05-08,1.26323,1.2669,1.26133,1.26194,GBPUSD,
2023-05-09,1.26194,1.26399,1.25789,1.26223,GBPUSD,
2023-05-10,1.2619,1.26798,1.26029,1.2624,GBPUSD,
2023-05-11,1.26238,1.26408,1.24969,1.25117,GBPUSD,
2023-05-12,1.25129,1.2541,1.24453,1.24509,GBPUSD,
2023-05-15,1.24527,1.25346,1.24451,1.25281,GBPUSD,
2023-05-16,1.25282,1.25466,1.24662,1.24831,GBPUSD,
2023-05-17,1.24835,1.25102,1.24219,1.24896,GBPUSD,
2023-05-18,1.24906,1.24928,1.23918,1.2406,GBPUSD,
2023-05-19,1.24054,1.24837,1.23924,1.24498,GBPUSD,
2023-05-22,1.24474,1.24725,1.2414,1.24361,GBPUSD,
2023-05-23,1.24364,1.24465,1.23731,1.24162,GBPUSD,
2023-05-24,1.24169,1.24691,1.23582,1.23669,GBPUSD,
2023-05-25,1.23665,1.23868,1.23083,1.23229,GBPUSD,
2023-05-26,1.23222,1.23953,1.23114,1.23519,GBPUSD,
2023-05-29,1.23489,1.23721,1.23356,1.23584,GBPUSD,
2023-05-30,1.2358,1.24457,1.23278,1.24138,GBPUSD,
2023-05-31,1.24135,1.24441,1.23488,1.24392,GBPUSD,
2023-06-01,1.24381,1.25391,1.24013,1.25259,GBPUSD,
2023-06-02,1.25238,1.25447,1.24415,1.24501,GBPUSD,
2023-06-05,1.24493,1.24512,1.23688,1.2434,GBPUSD,
2023-06-06,1.2434,1.24588,1.2392,1.24211,GBPUSD,
2023-06-07,1.2421,1.24999,1.2395,1.24394,GBPUSD,
2023-06-08,1.24414,1.25612,1.24367,1.25584,GBPUSD,
2023-06-09,1.2559,1.25902,1.25347,1.25771,GBPUSD,
2023-06-12,1.25816,1.25991,1.24872,1.25145,GBPUSD,
